,Unnamed: 0.1,Unnamed: 0,Date,Open,High,Low,Close,Adj Close,Volume
0,0,0,2014-08-01,440.079712,450.913513,433.351868,435.330658,432.467834,8882644.0
1,1,1,2014-08-04,437.606232,443.64151,436.468445,441.860596,438.954834,7517951.0
2,2,2,2014-08-05,444.927704,453.04068,439.486084,451.952362,448.980225,4030664.0
3,3,3,2014-08-06,450.171448,450.171448,440.475464,442.800507,439.88855,4859128.0
4,4,4,2014-08-07,442.849976,445.570801,435.528534,437.309418,434.433563,4871343.0
5,5,5,2014-08-08,432.857178,433.203461,425.83252,428.306,425.489349,6491179.0
6,6,6,2014-08-11,434.934875,443.690979,432.362488,441.811127,438.90567,8735749.0
7,7,7,2014-08-12,475.895538,476.884918,463.42926,468.969818,465.885773,14887582.0
8,8,8,2014-08-13,471.987457,474.757751,461.153656,468.475128,465.394348,6299304.0
9,9,9,2014-08-14,469.316101,480.694061,468.623535,479.457336,476.304321,6417376.0
10,10,10,2014-08-18,483.860107,500.283966,483.7117,498.453583,495.175659,8656402.0
11,11,11,2014-08-19,502.114319,515.174255,500.185028,513.343872,509.968018,9965688.0
12,12,12,2014-08-20,513.49231,516.460449,505.478241,506.813904,503.480988,5467442.0
13,13,13,2014-08-21,510.524109,512.651306,500.778656,507.308594,503.972443,5463932.0
14,14,14,2014-08-22,509.782074,515.124756,505.181427,506.121338,502.792969,4404241.0
15,15,15,2014-08-25,511.513519,512.502869,499.987152,503.004761,499.696899,4005516.0
16,16,16,2014-08-26,493.209839,509.732605,491.082642,507.209656,503.874146,4724406.0
17,17,17,2014-08-27,513.393372,518.439209,510.721985,516.163635,512.769226,3905433.0
18,18,18,2014-08-28,518.142395,526.008057,517.103577,519.478088,516.06189,5597525.0
19,19,19,2014-09-01,520.417969,523.880859,511.266144,514.481689,511.098328,6321716.0
20,20,20,2014-09-02,514.481689,515.223694,506.616028,510.771454,507.412506,4700852.0
21,21,21,2014-09-03,520.516907,524.870239,515.767883,517.054077,513.653809,7395355.0
